"ID","File 1","File 2","Day","Time","Label"
2018,"S2018A_11-06-23-47.png","S2018B_11-06-23-47.png",1,1427,1
2527,"S2527A_11-07-08-18.png","S2527B_11-07-08-18.png",2,498,3
4647,"S4647A_11-08-19-47.png","S4647B_11-08-19-47.png",3,1187,1
2707,"S2707A_11-07-11-19.png","S2707B_11-07-11-19.png",2,679,1
3261,"S3261A_11-07-20-34.png","S3261B_11-07-20-34.png",2,1234,2
4033,"S4033A_11-08-09-30.png","S4033B_11-08-09-30.png",3,570,2
1046,"S1046A_11-06-07-30.png","S1046B_11-06-07-30.png",1,450,1
3184,"S3184A_11-07-19-17.png","S3184B_11-07-19-17.png",2,1157,2
2891,"S2891A_11-07-14-22.png","S2891B_11-07-14-22.png",2,862,2
4059,"S4059A_11-08-09-56.png","S4059B_11-08-09-56.png",3,596,2
2737,"S2737A_11-07-11-47.png","S2737B_11-07-11-47.png",2,707,2
3256,"S3256A_11-07-20-29.png","S3256B_11-07-20-29.png",2,1229,3
179,"S179A_11-05-17-00.png","S179B_11-05-17-00.png",0,1020,2
3360,"S3360A_11-07-22-13.png","S3360B_11-07-22-13.png",2,1333,1
1094,"S1094A_11-06-08-18.png","S1094B_11-06-08-18.png",1,498,1
3211,"S3211A_11-07-19-44.png","S3211B_11-07-19-44.png",2,1184,2
3105,"S3105A_11-07-17-57.png","S3105B_11-07-17-57.png",2,1077,3
38,"S38A_11-05-14-38.png","S38B_11-05-14-38.png",0,878,3
4227,"S4227A_11-08-12-45.png","S4227B_11-08-12-45.png",3,765,3
3996,"S3996A_11-08-08-52.png","S3996B_11-08-08-52.png",3,532,3
4200,"S4200A_11-08-12-18.png","S4200B_11-08-12-18.png",3,738,1
50,"S50A_11-05-14-50.png","S50B_11-05-14-50.png",0,890,1
2557,"S2557A_11-07-08-48.png","S2557B_11-07-08-48.png",2,528,2
69,"S69A_11-05-15-09.png","S69B_11-05-15-09.png",0,909,2
1944,"S1944A_11-06-22-32.png","S1944B_11-06-22-32.png",1,1352,1
2888,"S2888A_11-07-14-19.png","S2888B_11-07-14-19.png",2,859,1
3120,"S3120A_11-07-18-12.png","S3120B_11-07-18-12.png",2,1092,2
2815,"S2815A_11-07-13-06.png","S2815B_11-07-13-06.png",2,786,2
3317,"S3317A_11-07-21-30.png","S3317B_11-07-21-30.png",2,1290,1
3468,"S3468A_11-08-00-02.png","S3468B_11-08-00-02.png",3,2,1
265,"S265A_11-05-18-26.png","S265B_11-05-18-26.png",0,1106,2
1321,"S1321A_11-06-12-06.png","S1321B_11-06-12-06.png",1,726,2
24,"S24A_11-05-14-24.png","S24B_11-05-14-24.png",0,864,3
4127,"S4127A_11-08-11-04.png","S4127B_11-08-11-04.png",3,664,4
3200,"S3200A_11-07-19-33.png","S3200B_11-07-19-33.png",2,1173,4
5059,"S5059A_11-09-02-41.png","S5059B_11-09-02-41.png",4,161,1
